date,first,peak_load(MW),second,third
20190129,29690,27858,1832,6.58
20190130,29570,27760,1810,6.52
20190131,29071,27181,1890,6.95
20190201,26857,24709,2148,8.69
20190202,25623,23382,2241,9.58
20190203,24953,22915,2038,8.89
20190204,22777,20214,2563,12.68
20190205,22325,19992,2333,11.67
20190206,22258,19936,2322,11.65
20190207,23045,20938,2107,10.06
20190208,24696,21581,3115,14.43
20190209,25572,22436,3136,13.98
20190210,26259,23236,3023,13.01
20190211,28942,26667,2275,8.53
20190212,29628,27768,1860,6.7
20190213,29614,27699,1915,6.91
20190214,30193,28250,1943,6.88
20190215,30221,28262,1959,6.93
20190216,27858,25432,2426,9.54
20190217,27016,24343,2673,10.98
20190218,30407,28645,1762,6.15
20190219,30767,28876,1891,6.55
20190220,30916,29078,1838,6.32
20190221,30725,28912,1813,6.27
20190222,30290,28420,1870,6.58
20190223,28452,26723,1729,6.47
20190224,26464,24694,1770,7.17
20190225,29838,28084,1754,6.24
20190226,30208,28390,1818,6.4
20190227,29916,28013,1903,6.79
20190228,27902,25472,2430,9.54
